Localidade,Indígenas 2010 Total,Indígenas 2010 Urbano,Indígenas 2010 Rural,Indígenas 2010 TI Total,Indígenas 2010 TI Urbano,Indígenas 2010 TI Rural,Indígenas 2010 Fora TI Total,Indígenas 2010 Fora TI Urbano,Indígenas 2010 Fora TI Rural,Indígenas 2022 Total,Indígenas 2022 Urbano,Indígenas 2022 Rural,Indígenas 2022 TI Total,Indígenas 2022 TI Urbano,Indígenas 2022 TI Rural,Indígenas 2022 Fora TI Total,Indígenas 2022 Fora TI Urbano,Indígenas 2022 Fora TI Rural,% Indígenas 2010 Urbano,% Indígenas 2010 Rural,% Indígenas 2010 TI Urbano,% Indígenas 2010 TI Rural,% Indígenas 2010 Fora TI Urbano,% Indígenas 2010 Fora TI Rural,% Indígenas 2022 Urbano,% Indígenas 2022 Rural,% Indígenas 2022 TI Urbano,% Indígenas 2022 TI Rural,% Indígenas 2022 Fora TI Urbano,% Indígenas 2022 Fora TI Rural
Norte,342836,61565,281271,251891,2179,249712,90945,59386,31559,753780,376875,376905,316827,34974,281853,436953,341901,95052,17.95756571655252,82.04243428344748,0.8650567110377108,99.13494328896229,65.29880697124636,34.70119302875364,49.998010029451564,50.001989970548436,11.038831917734283,88.96116808226571,78.24663064448579,21.75336935551421
Nordeste,232739,114401,118338,106142,19159,86983,126597,95242,31355,529128,329639,199489,129882,30200,99682,399246,299439,99807,49.15420277650072,50.84579722349929,18.050347647491098,81.9496523525089,75.23243046833653,24.767569531663465,62.298536459987,37.701463540013,23.25187477864523,76.74812522135477,75.00112712462993,24.998872875370072
Sudeste,99137,79272,19865,15904,652,15252,83233,78620,4613,123434,95348,28086,21525,1740,19785,101909,93608,8301,79.96207268729133,20.037927312708675,4.099597585513078,95.90040241448692,94.45772710343253,5.542272896567467,77.24613963737707,22.75386036262294,8.08362369337979,91.91637630662021,91.85449764005142,8.145502359948582
Sul,78773,34440,44333,39427,1594,37833,39346,32846,6500,88341,36926,51415,40409,1301,39108,47932,35625,12307,43.72056415269191,56.27943584730809,4.042914753848885,95.95708524615112,83.47989630457988,16.52010369542012,41.79939099625315,58.20060900374684,3.2195797965799695,96.78042020342002,74.32404239339063,25.675957606609362
Centro-Oeste,143432,35156,108276,104019,2379,101640,39413,32777,6636,200153,75958,124195,114201,1771,112430,85952,74187,11765,24.51056946845892,75.48943053154107,2.2870821676809046,97.71291783231909,83.16291578920661,16.837084210793392,37.949968274270184,62.050031725729816,1.5507745116067284,98.44922548839327,86.31212769918093,13.687872300819063
