Localidade,Indígenas 2010 Total,Indígenas 2010 Urbano,Indígenas 2010 Rural,Indígenas 2010 TI Total,Indígenas 2010 TI Urbano,Indígenas 2010 TI Rural,Indígenas 2010 Fora TI Total,Indígenas 2010 Fora TI Urbano,Indígenas 2010 Fora TI Rural,Indígenas 2022 Total,Indígenas 2022 Urbano,Indígenas 2022 Rural,Indígenas 2022 TI Total,Indígenas 2022 TI Urbano,Indígenas 2022 TI Rural,Indígenas 2022 Fora TI Total,Indígenas 2022 Fora TI Urbano,Indígenas 2022 Fora TI Rural,% Indígenas 2010 Urbano,% Indígenas 2010 Rural,% Indígenas 2010 TI Urbano,% Indígenas 2010 TI Rural,% Indígenas 2010 Fora TI Urbano,% Indígenas 2010 Fora TI Rural,% Indígenas 2022 Urbano,% Indígenas 2022 Rural,% Indígenas 2022 TI Urbano,% Indígenas 2022 TI Rural,% Indígenas 2022 Fora TI Urbano,% Indígenas 2022 Fora TI Rural,Região,Participação no Brasil (%),Participação na Região (%),% Indígenas 2022 em TI,Urbanização 2010 (%),Urbanização 2022 (%),Mudança na urbanização (p.p.),Crescimento absoluto,Crescimento relativo (%),TI urbano (%),Fora TI urbano (%),Referência regional em TI (%),Diferença da referência regional em TI (p.p.),Perfil em TI,Perfil fora de TI
Rio Grande do Norte,2597,2080,517,0,0,0,2597,2080,517,11724,5390,6334,0,0,0,11724,5390,6334,80.09241432422026,19.907585675779742,0.0,0.0,80.09241432422026,19.907585675779742,45.9740702831798,54.0259297168202,0.0,0.0,45.9740702831798,54.0259297168202,Nordeste,0.6917483461526661,2.215720959767769,0.0,80.09241432422026,45.9740702831798,-34.11834404104046,9127,351.4439738159415,,45.9740702831798,24.5464235496893,-24.5464235496893,Sem população em TI,Predominância rural
Paraíba,25043,13721,11322,18296,7426,10870,6747,6295,452,30140,16991,13149,19044,6721,12323,11096,10270,826,54.78976161003075,45.210238389969255,40.58810668998688,59.41189331001312,93.30072624870311,6.699273751296873,56.3735899137359,43.6264100862641,35.291955471539595,64.7080445284604,92.55587599134824,7.444124008651766,Nordeste,1.778343155325943,5.6961642551518725,63.185136031851364,54.78976161003075,56.3735899137359,1.5838283037051468,5097,20.352992852294054,35.291955471539595,92.55587599134823,24.5464235496893,38.63871248216206,Predominância rural,Predominância urbana
Pernambuco,60995,27521,33474,31836,5363,26473,29159,22158,7001,106646,58757,47889,34314,7599,26715,72332,51158,21174,45.12009181080416,54.87990818919584,16.84570925995728,83.15429074004273,75.99026029699235,24.00973970300765,55.09536222643136,44.90463777356863,22.14547997901731,77.85452002098269,70.72664933915831,29.273350660841675,Nordeste,6.292408233008976,20.155047549931208,32.175609024248445,45.12009181080416,55.09536222643136,9.9752704156272,45651,74.84383965898844,22.14547997901731,70.72664933915831,24.5464235496893,7.629185474559144,Predominância rural,Predominância urbana
Alagoas,16291,6233,10058,6268,0,6268,10023,6233,3790,25725,14724,11001,6672,2924,3748,19053,11800,7253,38.26038917193543,61.73961082806457,0.0,100.0,62.186969969071136,37.813030030928864,57.23615160349854,42.76384839650146,43.82494004796163,56.17505995203837,61.9325040676009,38.0674959323991,Nordeste,1.5178459744777666,4.861772576767814,25.93586005830904,38.26038917193543,57.23615160349854,18.975762431563112,9434,57.909275059848994,43.82494004796163,61.9325040676009,24.5464235496893,1.3894365086197382,Predominância rural,Predominância urbana
Sergipe,5221,4446,775,316,0,316,4905,4446,459,4710,3886,824,329,0,329,4381,3886,495,85.15610036391496,14.843899636085045,0.0,100.0,90.6422018348624,9.357798165137616,82.50530785562633,17.494692144373673,0.0,100.0,88.70120976945903,11.298790230540972,Nordeste,0.27790299474403424,0.8901437837347485,6.985138004246284,85.15610036391496,82.50530785562633,-2.6507925082886317,-511,-9.787397050373492,0.0,88.70120976945903,24.5464235496893,-17.561285545443017,Predominância rural,Predominância urbana
Bahia,60120,38058,22062,16817,5073,11744,43303,32985,10318,229443,180035,49408,17211,5413,11798,212232,174622,37610,63.30339321357285,36.69660678642715,30.16590354997919,69.83409645002081,76.17255155531949,23.827448444680503,78.46611140893381,21.53388859106619,31.45081633838824,68.54918366161175,82.27882694409891,17.72117305590109,Nordeste,13.537770026126422,43.3624756202658,7.501209450713249,63.30339321357285,78.46611140893381,15.16271819536096,169323,281.64171656686625,31.450816338388236,82.27882694409891,24.5464235496893,-17.045214098976054,Predominância rural,Predominância urbana
Minas Gerais,31677,19843,11834,9682,0,9682,21995,19843,2152,36699,22135,14564,12137,1737,10400,24562,20398,4164,62.64166429901822,37.35833570098179,0.0,100.0,90.2159581723119,9.784041827688112,60.31499495899071,39.68500504100929,14.311609129109334,85.68839087089066,83.04698314469505,16.95301685530494,Sudeste,2.1653422514036755,29.731678467845164,33.0717458241369,62.64166429901822,60.31499495899071,-2.3266693400275074,5022,15.853774031631785,14.311609129109334,83.04698314469505,17.438469141403505,15.633276682733392,Predominância rural,Predominância urbana
Espírito Santo,9585,6356,3229,3005,246,2759,6580,6110,470,14410,8721,5689,4663,0,4663,9747,8721,1026,66.31194574856548,33.68805425143454,8.186356073211314,91.81364392678869,92.85714285714286,7.142857142857142,60.52047189451769,39.4795281054823,0.0,100.0,89.47368421052632,10.526315789473683,Sudeste,0.8502297567434253,11.674255067485458,32.35947258848022,66.31194574856548,60.52047189451769,-5.791473854047787,4825,50.33907146583203,0.0,89.47368421052632,17.438469141403505,14.921003447076718,Predominância rural,Predominância urbana
Rio de Janeiro,15894,15156,738,450,0,450,15444,15156,288,16994,16074,920,546,0,546,16448,16074,374,95.35673839184598,4.64326160815402,0.0,100.0,98.13519813519814,1.8648018648018647,94.5863245851477,5.4136754148523005,0.0,100.0,97.72616731517508,2.273832684824902,Sudeste,1.0026928859193456,13.767681514007485,3.2128986701188653,95.35673839184598,94.5863245851477,-0.7704138066982864,1100,6.920850635459922,0.0,97.72616731517509,17.438469141403505,-14.225570471284641,Predominância rural,Predominância urbana
São Paulo,41981,37917,4064,2767,406,2361,39214,37511,1703,55331,48418,6913,4179,3,4176,51152,48415,2737,90.31943021843216,9.680569781567852,14.672930972172027,85.32706902782797,95.65716325802008,4.342836741979905,87.50609965480473,12.49390034519528,0.0717875089734386,99.92821249102656,94.64928057553958,5.350719424460432,Sudeste,3.264681656514259,44.82638495066189,7.552728127089696,90.31943021843215,87.50609965480473,-2.8133305636274173,13350,31.800100045258567,0.07178750897343862,94.64928057553958,17.438469141403505,-9.885741014313808,Predominância rural,Predominância urbana
Paraná,26559,12509,14050,11934,0,11934,14625,12509,2116,30466,12327,18139,13893,0,13893,16573,12327,4246,47.09891185662111,52.90108814337889,0.0,100.0,85.53162393162394,14.468376068376068,40.46149806341495,59.53850193658504,0.0,100.0,74.3800156881675,25.6199843118325,Sul,1.7975780547498401,34.48681812521932,45.601654303157616,47.09891185662111,40.46149806341495,-6.637413793206157,3907,14.710644226062728,0.0,74.3800156881675,45.742067669598484,-0.14041336644086755,Predominância rural,Predominância urbana
Santa Catarina,18213,7741,10472,9227,427,8800,8986,7314,1672,21773,10346,11427,10792,372,10420,10981,9974,1007,42.50260802723329,57.49739197276671,4.627722986886312,95.37227701311367,81.39327843311818,18.606721566881816,47.51756762963304,52.48243237036697,3.446997776130467,96.55300222386953,90.8296147891813,9.170385210818688,Sul,1.2846670710322414,24.646540111612953,49.56597620906628,42.50260802723329,47.517567629633035,5.014959602399742,3560,19.54647779058914,3.446997776130467,90.8296147891813,45.742067669598484,3.8239085394677943,Predominância rural,Predominância urbana
Rio Grande do Sul,34001,14190,19811,18266,1167,17099,15735,13023,2712,36102,14253,21849,15724,929,14795,20378,13324,7054,41.73406664509867,58.26593335490132,6.3889193036242204,93.61108069637578,82.76453765490945,17.235462345090564,39.4798072128968,60.52019278710321,5.908165861104045,94.09183413889596,65.38423790362155,34.61576209637845,Sul,2.130117604299177,40.86664176316773,43.55437371890754,41.73406664509867,39.479807212896795,-2.254259432201877,2101,6.179230022646393,5.908165861104045,65.38423790362155,45.742067669598484,-2.1876939506909423,Predominância rural,Predominância urbana
Mato Grosso do Sul,77025,14894,62131,61158,1645,59513,15867,13249,2618,116469,41861,74608,68682,1423,67259,47787,40438,7349,19.336579032781565,80.66342096721843,2.6897544066189214,97.31024559338108,83.50034663137329,16.49965336862671,35.94175274107273,64.05824725892727,2.071867447074925,97.92813255292508,84.62134053194383,15.378659468056169,Centro-Oeste,6.871992334361554,58.189984661733774,58.970198078458644,19.336579032781565,35.94175274107273,16.60517370829117,39444,51.2093476144109,2.071867447074925,84.62134053194383,57.056851508595926,1.9133465698627177,Predominância rural,Predominância urbana
Mato Grosso,51696,6291,45405,42525,629,41896,9171,5662,3509,58356,10117,48239,45175,242,44933,13181,9875,3306,12.169220055710303,87.83077994428969,1.479129923574368,98.52087007642564,61.73808744956929,38.26191255043071,17.336692028240456,82.66330797175955,0.5356945213060321,99.46430547869396,74.91844321371671,25.081556786283286,Centro-Oeste,3.443165002395512,29.15569589264213,77.41277674960587,12.169220055710305,17.336692028240456,5.1674719725301514,6660,12.883008356545961,0.5356945213060321,74.91844321371671,57.056851508595926,20.355925241009942,Predominância rural,Predominância urbana
Goiás,8583,8030,553,336,105,231,8247,7925,322,19517,18643,874,344,106,238,19173,18537,636,93.55703134102296,6.4429686589770485,31.25,68.75,96.09554989693224,3.9044501030677834,95.52185274376184,4.478147256238152,30.813953488372093,69.18604651162791,96.6828352370521,3.3171647629478955,Centro-Oeste,1.1515568467981563,9.75104045405265,1.7625659681303478,93.55703134102296,95.52185274376185,1.9648214027388917,10934,127.39135500407784,30.813953488372093,96.6828352370521,57.056851508595926,-55.29428554046558,Predominância rural,Predominância urbana
Distrito Federal,6128,5941,187,0,0,0,6128,5941,187,5811,5337,474,0,0,0,5811,5337,474,96.94843342036552,3.0515665796344646,0.0,0.0,96.94843342036552,3.0515665796344646,91.84305627258648,8.156943727413527,0.0,0.0,91.84305627258648,8.156943727413527,Centro-Oeste,0.3428650323689135,2.903278991571448,0.0,96.94843342036553,91.84305627258648,-5.105377147779052,-317,-5.172976501305484,,91.84305627258648,57.056851508595926,-57.056851508595926,Sem população em TI,Predominância urbana
