Indicador,N,Ausentes,Média,Desvio-padrão,Mínimo,Q1,Mediana,Q3,Máximo,IQR,MAD,Assimetria
Indígenas 2022 Total,27,0,62771.7037037037,98047.80889789462,4710.0,18255.5,30466.0,57761.0,490935.0,39505.5,19132.0,3.608972481729942
Crescimento relativo (%),27,0,74.4202527045169,85.7028196976397,-9.787397050373492,17.70012591111046,51.2093476144109,77.57438313589995,351.4439738159415,59.87425722478949,31.66286982382176,1.9481658109521727
Urbanização 2022 (%),27,0,52.15019347826792,24.131220214511707,17.336692028240456,33.615479976364966,51.666203832268806,61.69756756373525,95.52185274376184,28.08208758737028,15.724451091196073,0.3815191144215433
Mudança na urbanização (p.p.),27,0,3.2847587613682747,14.475910909956864,-34.11834404104046,-2.48873092415807,2.6285995000229185,10.903047334250592,43.60335805422935,13.391778258408662,5.441930063650336,-0.1354017310386075
Presença em TI 2022 (%),27,0,37.00105217124206,27.010669200760685,0.0,7.526968788901472,33.0717458241369,60.37895907582931,77.41277674960587,52.85199028692784,25.898452254321747,-0.011786650302697276
Mudança na presença em TI (p.p.),27,0,-7.695962914692093,10.227516986667123,-40.2160803793496,-13.229961647396852,-4.846972554015295,0.5246875951439842,4.226645987492008,13.754649242540836,5.8086237653573916,-1.3395706943685364
