K,Procedimento,Repetição ou elemento,N UFs comparadas,ARI
5,Subamostra de 80%,82,27,0.6475492142073185
5,Subamostra de 80%,83,27,0.7260220509317983
5,Subamostra de 80%,84,27,0.44097153095759506
5,Subamostra de 80%,85,27,0.9080954987979338
5,Subamostra de 80%,86,27,0.9248054081074004
5,Subamostra de 80%,87,27,0.8096753660089115
5,Subamostra de 80%,88,27,0.42835054734368233
5,Subamostra de 80%,89,27,0.8096753660089115
5,Subamostra de 80%,9,27,0.7260220509317983
5,Subamostra de 80%,90,27,0.3585555992505031
5,Subamostra de 80%,91,27,1.0
5,Subamostra de 80%,92,27,1.0
5,Subamostra de 80%,93,27,0.9248054081074004
5,Subamostra de 80%,94,27,1.0
5,Subamostra de 80%,95,27,0.8096753660089115
5,Subamostra de 80%,96,27,0.6957434189515945
5,Subamostra de 80%,97,27,0.4527140807883412
5,Subamostra de 80%,98,27,0.7242864963938016
5,Subamostra de 80%,99,27,0.8619676605982095
6,Reinicialização,1,27,0.5897535794292393
6,Reinicialização,10,27,0.8290639914288497
6,Reinicialização,100,27,0.32050616176401153
6,Reinicialização,11,27,0.5540239253949608
6,Reinicialização,12,27,0.7874427730542839
6,Reinicialização,13,27,0.7581573896353166
6,Reinicialização,14,27,0.8941123233948414
6,Reinicialização,15,27,0.8099808061420346
6,Reinicialização,16,27,0.3470259942681884
6,Reinicialização,17,27,0.8290639914288497
6,Reinicialização,18,27,0.4930849631606002
6,Reinicialização,19,27,0.8023890534354882
6,Reinicialização,2,27,0.43111831442463533
6,Reinicialização,20,27,0.8023890534354882
6,Reinicialização,21,27,1.0
6,Reinicialização,22,27,0.661024702653248
6,Reinicialização,23,27,0.8290639914288497
6,Reinicialização,24,27,0.7063339731285988
6,Reinicialização,25,27,0.5540239253949608
6,Reinicialização,26,27,0.8880620814287233
6,Reinicialização,27,27,0.8099808061420346
6,Reinicialização,28,27,0.6447076847317593
6,Reinicialização,29,27,0.8290639914288497
6,Reinicialização,3,27,0.510262269225325
6,Reinicialização,30,27,0.8139187430719552
6,Reinicialização,31,27,0.42771229251864323
6,Reinicialização,32,27,0.4930849631606002
6,Reinicialização,33,27,0.8833976439322311
6,Reinicialização,34,27,0.7063339731285988
6,Reinicialização,35,27,0.8941123233948414
6,Reinicialização,36,27,0.4267087451208371
6,Reinicialização,37,27,0.5311963365769892
6,Reinicialização,38,27,0.7581573896353166
6,Reinicialização,39,27,0.661024702653248
6,Reinicialização,4,27,1.0
6,Reinicialização,40,27,0.3675367682867439
6,Reinicialização,41,27,0.7581573896353166
6,Reinicialização,42,27,0.7581573896353166
6,Reinicialização,43,27,0.35894495412844035
6,Reinicialização,44,27,0.4930849631606002
6,Reinicialização,45,27,0.3433797547287466
6,Reinicialização,46,27,0.517034509329077
6,Reinicialização,47,27,0.7581573896353166
6,Reinicialização,48,27,0.661024702653248
6,Reinicialização,49,27,0.9452816462273955
6,Reinicialização,5,27,0.850798889805716
6,Reinicialização,50,27,0.45867270711841535
6,Reinicialização,51,27,0.850798889805716
6,Reinicialização,52,27,0.8196207410452747
6,Reinicialização,53,27,0.8099808061420346
6,Reinicialização,54,27,0.8880620814287233
6,Reinicialização,55,27,0.6126438593725366
6,Reinicialização,56,27,0.8941123233948414
6,Reinicialização,57,27,0.8941123233948414
6,Reinicialização,58,27,0.5311963365769892
6,Reinicialização,59,27,0.661024702653248
6,Reinicialização,6,27,0.8880620814287233
6,Reinicialização,60,27,0.7628871336520474
6,Reinicialização,61,27,0.3117301020664689
6,Reinicialização,62,27,0.4248397513133163
6,Reinicialização,63,27,0.5540239253949608
6,Reinicialização,64,27,0.38671051955393393
6,Reinicialização,65,27,0.5163147792706334
6,Reinicialização,66,27,0.7581573896353166
6,Reinicialização,67,27,0.7890680113918428
6,Reinicialização,68,27,0.3675367682867439
6,Reinicialização,69,27,0.4532093107262999
6,Reinicialização,7,27,0.5163147792706334
6,Reinicialização,70,27,0.4530903253222532
6,Reinicialização,71,27,0.5163147792706334
6,Reinicialização,72,27,0.8941123233948414
6,Reinicialização,73,27,0.832093122143085
6,Reinicialização,74,27,0.33218236910718063
6,Reinicialização,75,27,0.7655981682884946
6,Reinicialização,76,27,0.4459665144596651
6,Reinicialização,77,27,0.8941123233948414
6,Reinicialização,78,27,0.8880620814287233
6,Reinicialização,79,27,0.45867270711841535
6,Reinicialização,8,27,0.7581573896353166
6,Reinicialização,80,27,0.5940972396802252
6,Reinicialização,81,27,1.0
6,Reinicialização,82,27,0.5540239253949608
6,Reinicialização,83,27,0.7581573896353166
6,Reinicialização,84,27,0.4776230466673754
6,Reinicialização,85,27,0.5446356448730816
6,Reinicialização,86,27,0.8880620814287233
6,Reinicialização,87,27,0.825407879029049
6,Reinicialização,88,27,0.7581573896353166
6,Reinicialização,89,27,1.0
6,Reinicialização,9,27,0.7581573896353166
6,Reinicialização,90,27,0.7581573896353166
6,Reinicialização,91,27,0.8099808061420346
6,Reinicialização,92,27,0.8941123233948414
6,Reinicialização,93,27,0.8941123233948414
6,Reinicialização,94,27,0.7581573896353166
6,Reinicialização,95,27,0.5540239253949608
6,Reinicialização,96,27,0.8941123233948414
6,Reinicialização,97,27,0.5940972396802252
6,Reinicialização,98,27,0.7581573896353166
6,Reinicialização,99,27,0.4417562292158658
6,Retirada de UF,Acre,26,0.8773893360160966
6,Retirada de UF,Alagoas,26,0.8773893360160966
6,Retirada de UF,Amapá,26,1.0
6,Retirada de UF,Amazonas,26,1.0
6,Retirada de UF,Bahia,26,1.0
6,Retirada de UF,Ceará,26,0.8910891089108911
6,Retirada de UF,Distrito Federal,26,0.8054824036389754
6,Retirada de UF,Espírito Santo,26,1.0
6,Retirada de UF,Goiás,26,0.8910891089108911
6,Retirada de UF,Maranhão,26,1.0
6,Retirada de UF,Mato Grosso,26,0.8910891089108911
6,Retirada de UF,Mato Grosso do Sul,26,0.8773893360160966
6,Retirada de UF,Minas Gerais,26,1.0
6,Retirada de UF,Paraná,26,1.0
6,Retirada de UF,Paraíba,26,0.8853615520282186
6,Retirada de UF,Pará,26,0.8773893360160966
6,Retirada de UF,Pernambuco,26,1.0
6,Retirada de UF,Piauí,26,1.0
6,Retirada de UF,Rio Grande do Norte,26,1.0
6,Retirada de UF,Rio Grande do Sul,26,1.0
6,Retirada de UF,Rio de Janeiro,26,1.0
6,Retirada de UF,Rondônia,26,1.0
