Componente,Variável,Peso no vetor,Correlação variável–componente,Contribuição ao componente (%),Componente retido
PC1,População 2022 (log10),0.5485555659093632,0.8764938220575859,30.091320889014167,True
PC1,Crescimento logarítmico,0.16462024849415613,0.2526284433466445,2.7099826214277716,True
PC1,Urbanização 2022 (%),-0.17836216469741265,-0.3119041937642686,3.1813061795546953,True
PC1,Mudança na urbanização (p.p.),0.6464056670470615,0.898598886797323,41.78402863905565,True
PC1,Presença em TI 2022 (%),0.1490078175586687,0.4381304415128544,2.2203329693597498,True
PC1,Mudança na presença em TI (p.p.),-0.4473592370968556,-0.9040742349391828,20.013028701588066,True
PC2,População 2022 (log10),0.16718391336608904,0.1864395009499801,2.7950460888399964,True
PC2,Crescimento logarítmico,0.8456571386562423,0.9057503782770392,71.5135996160263,True
PC2,Urbanização 2022 (%),0.3139847716062848,0.3832148025913161,9.858643680065082,True
PC2,Mudança na urbanização (p.p.),-0.23671826012004427,-0.22967180985278438,5.603553467426094,True
PC2,Presença em TI 2022 (%),-0.31490253088413495,-0.6462279504672116,9.916360395723355,True
PC2,Mudança na presença em TI (p.p.),-0.05592823543786901,-0.07888492417293508,0.31279675191937073,True
PC3,População 2022 (log10),-0.015627241649639214,-0.015182382889849315,0.024421068157621857,True
PC3,Crescimento logarítmico,-0.3204099803669917,-0.2989746782004853,10.2662555518776,True
PC3,Urbanização 2022 (%),0.8136095611683734,0.8650951990744771,66.19605180245931,True
PC3,Mudança na urbanização (p.p.),0.3608829441343464,0.30503976436349606,13.023649936707379,True
PC3,Presença em TI 2022 (%),-0.32048518658402975,-0.5729697770045736,10.271075481980036,True
PC3,Mudança na presença em TI (p.p.),-0.04674892071674508,-0.057444526091367944,0.21854615881805173,True
PC4,População 2022 (log10),0.8154047492899622,0.4429895922981091,66.48849051646262,False
PC4,Crescimento logarítmico,-0.26260140300452783,-0.13702130142047952,6.895949685994644,False
PC4,Urbanização 2022 (%),0.09182974192443256,0.054600157610890626,0.8432701501907888,False
PC4,Mudança na urbanização (p.p.),-0.34532811042159817,-0.16322425918379435,11.92515038473515,False
PC4,Presença em TI 2022 (%),0.012800343319064059,0.012796996357061701,0.016384878908590788,False
PC4,Mudança na presença em TI (p.p.),0.37189722214219617,0.25554222436767043,13.830754383708202,False
PC5,População 2022 (log10),-0.06902310776672499,-0.02247992856123243,0.47641894057769313,False
PC5,Crescimento logarítmico,0.2761996297402727,0.0863961259791196,7.628623546866373,False
PC5,Urbanização 2022 (%),0.015784401108353406,0.005626246711208484,0.024914731834938822,False
PC5,Mudança na urbanização (p.p.),0.49436488828453,0.14008141589100237,24.439664276857584,False
PC5,Presença em TI 2022 (%),0.2081115572327338,0.12472765525588742,4.3310420253833435,False
PC5,Mudança na presença em TI (p.p.),0.7943509078390989,0.3272142913234127,63.09933647848006,False
PC6,População 2022 (log10),-0.035256559240504685,-0.004823023702018893,0.12430249694792161,False
PC6,Crescimento logarítmico,0.09927683404538387,0.01304362031823673,0.9855889778074689,False
PC6,Urbanização 2022 (%),0.44604723355150644,0.06678063837866012,19.895813455895215,False
PC6,Mudança na urbanização (p.p.),-0.17955370492468775,-0.02137008887427827,3.223953295218184,False
PC6,Presença em TI 2022 (%),0.8558317839893826,0.21544381121915157,73.24480424864494,False
PC6,Mudança na presença em TI (p.p.),-0.15891939861093962,-0.02749639973595573,2.5255375254862718,False
