Localidade,Região,População 2022 (log10),Crescimento logarítmico,Urbanização 2022 (%),Mudança na urbanização (p.p.),Presença em TI 2022 (%),Mudança na presença em TI (p.p.),População 2022 (log10) — escala robusta,Crescimento logarítmico — escala robusta,Urbanização 2022 (%) — escala robusta,Mudança na urbanização (p.p.) — escala robusta,Presença em TI 2022 (%) — escala robusta,Mudança na presença em TI (p.p.) — escala robusta
Rondônia,Norte,4.325228227870849,0.4806722734483706,38.276742646363374,16.05282095777359,54.50203348150951,-15.98588331261714,-0.3163788394323496,0.16334703996970454,-0.4767972161701841,1.002422620709213,0.4054774009650319,-0.8098287758695476
Acre,Norte,4.5009770535891995,0.5894792683781631,27.920111062030667,13.157339415654516,61.78772007319997,-13.920551630065482,0.034237137450084845,0.42792054450466355,-0.8455957092348709,0.7862092481273448,0.5433281526990205,-0.6596736067966837
Amazonas,Norte,5.6910239951575585,0.9840207772767814,62.30274883640401,43.60335805422935,30.366545469359487,-40.2160803793496,2.408360943105636,1.3872819326320767,0.37876617865542556,3.059695117672553,-0.05118445568636423,-2.5714292819582454
Roraima,Norte,4.989752294528883,0.5576161094678027,22.191505918007945,7.451332104481962,73.46725641970758,-9.693217096976369,1.0093355933148815,0.3504425512570062,-1.0495906980760539,0.3601263783942108,0.7643138957732292,-0.3523350146925192
Pará,Norte,4.908377772432394,0.4581307024187299,31.2892072116572,11.830824252873985,51.64114596196592,-18.288760123904012,0.8469947785664234,0.1085352840813635,-0.7256225719406991,0.6871548031399798,0.3513472252798375,-0.9772541147989081
Amapá,Norte,4.054383208305477,0.42484167477820567,25.22498676548438,6.8738870488469495,69.28710075877889,-11.079921235553854,-0.8567101374112005,0.027590169191483827,-0.941568784176721,0.3170070073523228,0.6852221598095489,-0.45315213580736674
Tocantins,Norte,4.301529147360923,0.3494310338372321,20.95090645757379,5.516708979177416,75.97762573041003,-5.90366057076578,-0.3636581098925661,-0.1557772472678587,-1.0937683061892094,0.2156628808680476,0.8118119993843499,-0.07682406131319765
Maranhão,Nordeste,4.757137804970914,0.38674041936679593,20.45971381590456,2.6285995000229185,72.90522338452926,-3.3766132923526158,0.5452735652471707,-0.0650562886753355,-1.111259621254053,0.0,0.753679801728197,0.10689907359579212
Piauí,Nordeste,3.8574531170352664,0.8945895643600537,51.666203832268806,-28.39493747207902,1.5828936406553733,1.5828936406553733,-1.2495823858944104,1.169822297509739,0.0,-2.3166107124438344,-0.595793119852855,0.46746856872105214
Ceará,Nordeste,4.75106344325651,1.0019838190971833,61.09238629106649,-2.0133778293374363,18.66352089689917,4.226645987492008,0.5331553149104876,1.4309606035630986,0.33566530370901065,-0.34662889720755863,-0.272614613924982,0.6596764760415783
Rio Grande do Norte,Nordeste,4.069075809766398,1.5072810901680347,45.9740702831798,-34.11834404104046,0.0,0.0,-0.8273986424802446,2.6596340902762314,-0.2026962394223499,-2.7439928314217767,-0.6257426758120915,0.35238794305451404
Paraíba,Nordeste,4.479143247978613,0.1852588458361844,56.3735899137359,1.5838283037051468,63.185136031851364,-9.873203623940675,-0.00932094068743282,-0.5549759491034905,0.16762949217437118,-0.07801586735964379,0.5697683293331447,-0.3654205193673777
Pernambuco,Nordeste,5.027944570891818,0.5587230447530056,55.09536222643136,9.9752704156272,32.175609024248445,-20.018833143142317,1.085528547843147,0.3531341589784445,0.12211194710840499,0.5485956214210257,-0.016955592306428218,-1.1030350772016044
Alagoas,Nordeste,4.410355383434471,0.45685047363608106,57.23615160349854,18.975762431563112,25.93586005830904,-12.539371664728222,-0.1465515834881538,0.1054222984148585,0.19834521753057915,1.2206865000378762,-0.13501640576046225,-0.559258107936451
Sergipe,Nordeste,3.673020907128896,-0.10300104640008893,82.50530785562633,-2.650792508288632,6.985138004246284,0.9326576365006414,-1.6175215694457032,-1.2559045057190914,1.0981770471091041,-0.3942263608641096,-0.49357853277178765,0.4201946620812768
Bahia,Nordeste,5.3606748124872174,1.3393120677548083,78.46611140893381,15.16271819536096,7.501209450713249,-20.471179105507638,1.7493198319013181,2.2512030611695706,0.9543417131395201,0.9359562601380367,-0.4838140670692613,-1.1359218454782023
Minas Gerais,Sudeste,4.5646542304537565,0.1471586412404019,60.31499495899071,-2.326669340027508,33.0717458241369,2.506982746825283,0.1612720435453413,-0.6476198518223315,0.3079824852697787,-0.37002321457488485,0.0,0.5346523325433862
Espírito Santo,Sudeste,4.158663980813989,0.4077230335138229,60.52047189451769,-5.791473854047787,32.35947258848022,1.008403209241827,-0.6486717350282414,-0.014035269642820276,0.31529949597589846,-0.6287494604223874,-0.013476753321678496,0.42570156897548656
Rio de Janeiro,Sudeste,4.230295613917047,0.06691866106336201,94.5863245851477,-0.7704138066982864,3.2128986701188653,0.38164159197617,-0.505767821369315,-0.8427302192481877,1.5283807024439986,-0.25381343994304667,-0.5649521804555993,0.3801343134087515
São Paulo,Sudeste,4.74296851931152,0.27611619514875707,87.50609965480473,-2.8133305636274173,7.552728127089696,0.9616512113420965,0.5170060766145231,-0.33404854148695756,1.276254684094592,-0.4063635133917605,-0.48283929438621265,0.4223025729650951
Paraná,Sul,4.483815437748665,0.1372426344174875,40.46149806341495,-6.637413793206157,45.601654303157616,0.6677335983117985,0.0,-0.6717314696261671,-0.3989983199786433,-0.6919180645341831,0.2370754329401254,0.4009339718581138
Santa Catarina,Sul,4.337918272572673,0.17853504525377517,47.51756762963304,5.014959602399742,49.56597620906628,-1.095639120643277,-0.291062411845277,-0.5713254446945604,-0.14773247144566215,0.17819590918617803,0.31208342950537826,0.2727320317096687
