K,Componentes PCA utilizadas,Silhouette médio,Calinski–Harabasz,Davies–Bouldin,Tamanhos dos agrupamentos,Menor agrupamento (UFs),ARI mediano — reinicializações,ARI mínimo — retirada de UF,ARI mínimo — retirada de variável,ARI mediano — subamostras,ARI P10 — subamostras,Atende silhouette,Atende tamanho mínimo,Atende reinicializações,Atende retirada de UF,Atende retirada de variável,Atende subamostras,Critérios atendidos (de 6),Decisão,Melhor silhouette
2,3,0.3221705912135331,13.227682033110257,1.1811973681331422,16; 11,11,0.5897002954833263,0.5751633986928104,0.20245398773006135,0.7835015835566226,-0.004030687011375776,False,True,False,True,False,False,2,Rejeitada,False
3,3,0.3766920451536649,15.713340348963625,0.9328253381872077,15; 10; 2,2,0.3985566942366626,0.357177148343735,0.13253369361057107,0.860075742475583,0.31427152317880797,False,False,False,False,False,False,0,Rejeitada,False
4,3,0.40658297707075924,19.795065795435153,0.7720636411433752,15; 7; 3; 2,2,0.8447233600349019,0.5024849539706838,0.24264538198403648,0.8445774810039144,0.42994241842610365,False,False,False,True,False,False,1,Rejeitada,True
5,3,0.34441966407976493,20.512099149622518,0.8126551443110712,8; 7; 7; 3; 2,2,0.6104847301136364,0.38207820120691083,0.3566684915855371,0.7637998637281482,0.4395273507003057,False,False,False,False,False,False,0,Rejeitada,False
6,3,0.37395575293688843,22.709904494068653,0.7691276833115017,9; 7; 4; 3; 2; 2,2,0.7581573896353166,0.6534653465346535,0.3359609017814914,0.7450915947876031,0.3724340258801138,False,False,False,True,False,False,1,Rejeitada,False
