Ordem do indicador,Indicador,N completo,N sem sinalizadas,Quantidade de UFs sinalizadas,UFs retiradas hipoteticamente,Média completa,Média sem sinalizadas,Variação da média (%),Mediana completa,Mediana sem sinalizadas,Variação da mediana (%)
1,Indígenas 2022 Total,27,25,2,Amazonas; Bahia,62771.7037037037,38978.32,-37.90463266062321,30466.0,30140.0,-1.0700452963959828
2,Crescimento relativo (%),27,23,4,Rio Grande do Norte; Bahia; Ceará; Amazonas,74.4202527045169,45.05974161929163,-39.45231307101332,51.2093476144109,47.21742937343875,-7.79529212328568
3,Urbanização 2022 (%),27,27,0,Nenhuma,52.15019347826792,52.15019347826792,0.0,51.666203832268806,51.666203832268806,0.0
4,Mudança na urbanização (p.p.),27,24,3,Amazonas; Rio Grande do Norte; Piauí,3.2847587613682747,4.4832670839930655,36.486951088169086,2.6285995000229185,3.82177955121133,45.392234578832124
5,Presença em TI 2022 (%),27,27,0,Nenhuma,37.00105217124206,37.00105217124206,0.0,33.0717458241369,33.0717458241369,0.0
6,Mudança na presença em TI (p.p.),27,26,1,Amazonas,-7.695962914692093,-6.445189166051421,-16.252335965040377,-4.846972554015295,-4.111792923183955,-15.167810888929157
