Proporção acumulada de UFs,Proporção acumulada da população
0.0,0.0
0.037037037037037035,0.0027790299474403425
0.07407407407407407,0.006207680271129478
0.1111111111111111,0.010457058972077535
0.14814814814814814,0.01714443167362506
0.18518518518518517,0.02406191513515172
0.2222222222222222,0.03256421270258597
0.25925925925925924,0.04259114156177943
0.2962962962962963,0.054106710029760995
0.3333333333333333,0.06592083245812574
0.37037037037037035,0.07839755586971246
0.4074074074074074,0.09124422658003488
0.4444444444444444,0.10642268632481255
0.48148148148148145,0.12420611787807198
0.5185185185185185,0.14218189842557039
0.5555555555555556,0.1608822328532082
0.5925925925925926,0.1821834088962
0.6296296296296295,0.20383683141023673
0.6666666666666666,0.23648364797537932
0.7037037037037037,0.2697446832613893
0.7407407407407407,0.30347420045361323
0.7777777777777777,0.3379058504775683
0.8148148148148148,0.3856862846906721
0.8518518518518519,0.4433130993205242
0.8888888888888888,0.5062371816506139
0.9259259259259258,0.5749571049942296
0.9629629629629629,0.7103348052554938
1.0,1.0
