Ordem da relação,Relação,Variável X,Variável Y,UF retirada hipoteticamente,Região,N completo,N sem UF,Spearman completo (ρ),Spearman sem UF (ρ),Variação de ρ,Variação absoluta de ρ,Rank de influência na relação
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Goiás,Centro-Oeste,27,26,-0.235042735042735,-0.18769230769230769,0.04735042735042733,0.04735042735042733,6
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Rio de Janeiro,Sudeste,27,26,-0.235042735042735,-0.18769230769230769,0.04735042735042733,0.04735042735042733,7
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Maranhão,Nordeste,27,26,-0.235042735042735,-0.1917948717948718,0.0432478632478632,0.0432478632478632,8
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Mato Grosso,Centro-Oeste,27,26,-0.235042735042735,-0.1917948717948718,0.0432478632478632,0.0432478632478632,9
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Roraima,Norte,27,26,-0.235042735042735,-0.19863247863247863,0.036410256410256386,0.036410256410256386,10
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Pernambuco,Nordeste,27,26,-0.235042735042735,-0.2711111111111111,-0.03606837606837607,0.03606837606837607,11
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Tocantins,Norte,27,26,-0.235042735042735,-0.26974358974358975,-0.03470085470085474,0.03470085470085474,12
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),São Paulo,Sudeste,27,26,-0.235042735042735,-0.26017094017094017,-0.025128205128205156,0.025128205128205156,13
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Ceará,Nordeste,27,26,-0.235042735042735,-0.2588034188034188,-0.02376068376068377,0.02376068376068377,14
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Mato Grosso do Sul,Centro-Oeste,27,26,-0.235042735042735,-0.212991452991453,0.022051282051282012,0.022051282051282012,15
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Rio Grande do Norte,Nordeste,27,26,-0.235042735042735,-0.2547008547008547,-0.01965811965811967,0.01965811965811967,16
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Pará,Norte,27,26,-0.235042735042735,-0.21572649572649572,0.019316239316239298,0.019316239316239298,17
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Minas Gerais,Sudeste,27,26,-0.235042735042735,-0.254017094017094,-0.01897435897435898,0.01897435897435898,18
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Espírito Santo,Sudeste,27,26,-0.235042735042735,-0.2239316239316239,0.0111111111111111,0.0111111111111111,19
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Piauí,Nordeste,27,26,-0.235042735042735,-0.2451282051282051,-0.010085470085470088,0.010085470085470088,20
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Rondônia,Norte,27,26,-0.235042735042735,-0.2423931623931624,-0.007350427350427374,0.007350427350427374,21
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Santa Catarina,Sul,27,26,-0.235042735042735,-0.24034188034188034,-0.005299145299145325,0.005299145299145325,22
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Paraná,Sul,27,26,-0.235042735042735,-0.2300854700854701,0.004957264957264923,0.004957264957264923,23
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Acre,Norte,27,26,-0.235042735042735,-0.23965811965811962,-0.0046153846153846045,0.0046153846153846045,24
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Rio Grande do Sul,Sul,27,26,-0.235042735042735,-0.23282051282051283,0.002222222222222181,0.002222222222222181,25
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Alagoas,Nordeste,27,26,-0.235042735042735,-0.23692307692307688,-0.0018803418803418626,0.0018803418803418626,26
2,Magnitude populacional × urbanização em 2022,Indígenas 2022 Total,Urbanização 2022 (%),Paraíba,Nordeste,27,26,-0.235042735042735,-0.23692307692307688,-0.0018803418803418626,0.0018803418803418626,27
