Localidade,Região,PC1,PC2,PC3,PC4,PC5,PC6
Rondônia,Norte,0.8118750353472577,-0.49223303523713413,-0.1391651014124654,-0.9239634527443705,0.08912351272498403,0.004474982983995414
Acre,Norte,0.9271472230383818,-0.3263001328187914,-0.6587006679479954,-0.6091421813273951,0.17325267871361397,-0.013185659927843516
Amazonas,Norte,4.405285208295442,1.022295997057036,1.093329173179988,-0.3164523350193114,-0.22471385819008724,-0.06872403726987598
Roraima,Norte,1.105688913174276,-0.27876677444039294,-1.0540427632577771,0.4518362074882712,0.16081298760907228,0.07054186965865805
Pará,Norte,1.3484505615815816,-0.3211758238827414,-0.43082978180301373,0.06211393278442184,-0.31035962032755027,-0.1160826530311448
Amapá,Norte,0.015087657207064757,-0.7890929338816193,-0.8190490525425429,-0.9986609085052727,0.08428583694186542,0.10853815260499088
Tocantins,Norte,0.06751435546903176,-0.9464376840352097,-0.9865687981395088,-0.3858751109925154,0.27238584137124394,0.07179301261524564
Maranhão,Nordeste,0.35391007872639196,-0.6641701025544117,-1.1118593002490753,0.47189888630613114,0.26165605846449147,0.0007262627565346835
Piauí,Nordeste,-2.4854451971722376,1.3821318257367645,-0.995742071334213,-0.29705746874677075,-0.395517031336061,-0.11399144474643247
Ceará,Nordeste,-0.2888182957730823,1.4275539111659008,-0.23579876186721246,0.5141723767075919,0.7526849992748684,-0.10887373903786467
Rio Grande do Norte,Nordeste,-2.2016899880812564,2.76597720039496,-1.7838624376829297,-0.25824151967389636,-0.3253014002618441,-0.0019896848453233463
Paraíba,Nordeste,-0.12560956438024443,-0.6668437645112915,0.1471657790993561,0.11470613714587057,-0.26722314118408413,0.47375813522670335
Pernambuco,Nordeste,1.2801855880843036,0.34753938423400393,0.2507076586871775,0.2665871228802599,-0.4909459509926363,0.007582697827847493
Alagoas,Nordeste,0.7235333736560753,-0.1963188317522473,0.6663170331110739,-0.697380851793775,0.2665194626238508,-0.24770011876211706
Sergipe,Nordeste,-2.0034579382390105,-0.8705111700829348,1.343929693638443,-0.539358258194785,-0.08869221187992489,-0.10217881798633552
Bahia,Nordeste,2.0038730124906046,2.3820964763221326,0.6002348009893047,0.23386061241486106,0.06883450857982314,0.07994974361135207
Minas Gerais,Sudeste,-0.7486256030212517,-0.47439416329350514,0.3235208532541408,0.7193051732193638,0.14966931036501188,-0.05708359652037013
Espírito Santo,Sudeste,-1.2104391199986724,-0.0001284645544445372,0.055166947821873015,-0.05818065928049402,0.1634304910226941,0.0898720500823793
Rio de Janeiro,Sudeste,-1.3042645899697334,-0.208684701884735,1.6196082945317298,0.2338759031152201,-0.0217802559842947,0.01160522565086551
São Paulo,Sudeste,-0.719745359420946,0.3212086386619116,1.1521663302723326,0.980530567853695,0.01931237971508688,0.004550324839242075
Paraná,Sul,-0.8278913323502247,-0.7347062560968372,-0.42733398574878595,0.5936775630940775,-0.07303275572320686,-0.0871937115147131
Santa Catarina,Sul,-0.38486699068281677,-0.8419864529592596,0.04543936431056382,0.005858173440690688,0.3226819651838366,-0.026551608395582984
Rio Grande do Sul,Sul,-0.2137127747654178,-0.9012373122152731,-0.23050294059278334,0.353244561519458,-0.6076492462527445,-0.09335805297635698
Mato Grosso do Sul,Centro-Oeste,1.7945160284424082,-0.427652392936624,-0.17468338388755805,0.1833450340324051,-0.2780081288357007,0.015346077507315016
Mato Grosso,Centro-Oeste,0.46031689580650226,-1.3079254240786107,-0.9496400900916759,0.5416784866994839,0.10687616322127512,-0.05767556582574173
Goiás,Centro-Oeste,-0.7320182880074361,1.3440624720702035,1.1480550498919426,-0.28649293887521676,0.42617986360033155,0.17350951022350883
Distrito Federal,Centro-Oeste,-2.050798889456991,-0.5443004844268516,1.5521381577696116,-0.3558850535479991,-0.2344824584439154,-0.017659354748936148
